NumberofBadguys: 7                 
Name: Vinny          
Type: Human 
Birthplace: NY         
Armor: 100           
Health: 100          
Name: Alvin            
Type: Human   
Birthplace: cali
Armor: 100           
Health: 50          
Name: Chloe          
Type: Human  
Birthplace: texas     
Armor: 100           
Health: 100                   
Name: Peter          
Type: Human 
Birthplace: Arizona         
Armor: 100           
Health: 100          
Name: Susie            
Type: elf     
Birthplace: cali         
Armor: 100           
Health: 50          
Name: Steven          
Type: dwarf     
Birthplace: noidea
Armor: 100           
Health: 100          
Name: tab            
Type: Human 
Birthplace:  bridgeport
Armor: 100           
Health: 50          
